Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Weight (kg),Numeric,N/A,number,No,no,CIEL:5089,,,
Blood pressure (systolic/diastolic),Numeric,N/A,number,No,no,CIEL:5085|CIEL:5086,,,
Edema,Coded,Yes | No,radio,No,no,CIEL:162452,CIEL:1065|CIEL:1066,,
Urine protein,Coded,Positive | Negative | Not tested,radio,No,no,CIEL:1216,CIEL:703|CIEL:664,,
Fundal height (cm),Numeric,N/A,number,No,no,CIEL:1439,,,
Fetal heart rate (FHR),Numeric,N/A,number,No,no,CIEL:1440,,,
Fetal movement reported,Coded,Yes | No,radio,No,no,PIH:FETAL_MOVEMENT,PIH:YES|PIH:NO,,
Symptoms (headache,visual,bleeding),Coded,checkbox list,checkbox,No,no,PIH:ANC SYMPTOMS,CIEL:...
Iron supplement adherence,Coded,Good | Poor | Unknown,radio,No,no,PIH:IRON ADHERENCE,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Counseling provided,Coded,Yes | No,radio,No,no,PIH:COUNSELING,PIH:YES|PIH:NO,,
Tests ordered (Hb,RPR,HIV),Other,Test orders/test results,lab-order/test-result,No,no,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Return visit date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Notes/summary,Text,N/A,textarea,No,no,CIEL:161011,,,
