Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Gravida,Numeric,N/A,number,No,no,CIEL:5624,,,
Para,Numeric,N/A,number,No,no,CIEL:1053,,,
LMP date,Date,N/A,date,No,no,CIEL:1427,,,
EDD (calculated),Date,N/A,date,No,Shown if LMP present,fn.latestObs('CIEL:1427'),,,
Gestational age (weeks.days),Numeric,N/A,number,No,no,CIEL:165425,,,
Blood pressure (systolic/diastolic),Numeric,N/A,number,No,no,CIEL:5085|CIEL:5086,,Vitals,
Weight (kg),Numeric,N/A,number,No,no,CIEL:5089,,Vitals,
Height (cm),Numeric,N/A,number,No,no,CIEL:5090,,,
Hemoglobin (g/dL),Numeric,N/A,number,No,no,CIEL:21,,Labs,
HIV status,Coded,Positive | Negative | Unknown,radio,No,no,PIH:1040,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Syphilis test,Coded,Positive | Negative | Not done,radio,No,no,CIEL:166,CIEL:703|CIEL:664,,
Ultrasound done,Coded,Yes | No,radio,No,no,PIH:ULTRASOUND DONE,PIH:YES|PIH:NO,,
Risk factors (checkbox list),Coded,Multiple checkbox options,checkbox,No,no,PIH:ANTENATAL RISK FACTORS,CIEL:...,,
Allergies/Med history,Text,N/A,textarea,No,no,CIEL:1598,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,Yes,no,,,,
Enrollment in ANC program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Return visit date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Notes/summary,Text,N/A,textarea,No,no,CIEL:161011,,,
