Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Gravida,Numeric,N/A,number,No,no,CIEL:5624,,,
Para,Numeric,N/A,number,No,no,CIEL:1053,,,
Calculated EDD,Date,N/A,date,No,Shown if last LMP present,fn.latestObs('CIEL:1427'),,,
Calculated gestational age,Numeric,N/A,number,No,Shown if last LMP present,(calculated),,,
Gestational age (GA),Numeric,N/A,number,No,no,CIEL:165425,,,
Gestational age based on,Coded,Ultrasound | Last menstrual date,radio,No,no,CIEL:160697,CIEL:159618|CIEL:1427,,
Vital signs (subform),Other,See vital-signs-basic-widget,subform,No,no,,,,
Pregnancy complications,Coded,Haemorrhage | Hypertensive disorder | Infection | Malaria | Multiple gestation | UTI | Sickle-cell anaemia | Post-date pregnancy | Threatened abortion | Foetal distress | other,checkbox,No,no,PIH:20542,CIEL:228|CIEL:117399|CIEL:145047|CIEL:116128|CIEL:115491|CIEL:111633|CIEL:117703|CIEL:113599|CIEL:112416|CIEL:118256|CIEL:5622,,
If other pregnancy complication specify,Text,N/A,text,No,Shown if other checked,PIH:14679,,,
General exam - findings,Coded,Normal | Oedema | Jaundice | Pale | Other,checkbox,No,no,PIH:GENERAL EXAM FINDINGS,CIEL:1115|CIEL:460|CIEL:136443|CIEL:5245|PIH:OTHER NON-CODED,,
General exam - comments,Text,N/A,textarea,No,no,CIEL:163042,,,
Previous abdominal scar,Coded,yes | no,radio,No,no,CIEL:166893,CIEL:1065|CIEL:1066,,
Number of foetuses,Numeric,N/A,number,No,no,PIH:21404,,,
Twins or triplets,Coded,yes | no,checkbox,No,no,PIH:DIAGNOSIS,CIEL:115491,,
# of previous c-sections,Numeric,N/A,number,No,Shown if scar yes,CIEL:160081,,,
Description of scar,Text,N/A,text,No,Shown if scar yes,CIEL:168244,,,
Fetal heart rate (FHR),Numeric,N/A,number,No,Repeat per fetus,CIEL:1440,,CIEL:165381,
Fetal HR method,Coded,Pinard | Doppler | Moyo | Janitri | CTG | other,radio,No,Repeat per fetus,CIEL:168715,CIEL:168716|CIEL:168717|CIEL:168718|CIEL:168719|CIEL:168720|CIEL:5622,,
Fetal presentation,Coded,Multiple options,radio,No,Repeat per fetus,CIEL:160090,CIEL:5622|...,,
Other fetal presentation specify,Text,N/A,text,No,Shown if other presentation selected,PIH:14414,,,
Fetal position,Coded,Options,radio,No,Repeat per fetus,CIEL:163749,CIEL:5141|CIEL:5139,,
Obstetric ultrasound findings,Coded,Options including other,radio,No,Repeat per fetus,PIH:21412,CIEL:146922|CIEL:160091|CIEL:112259|CIEL:5622,,
Other obstetric ultrasound specify,Text,N/A,text,No,Shown if other selected,PIH:7018,,,
Placenta location,Coded,anterior | posterior | fundal | low-lying | placenta previa,radio,No,Repeat per fetus,CIEL:165296,CIEL:540|CIEL:541|CIEL:165298|CIEL:165297|CIEL:114127,,
Uterine contraction (UC),Coded,absent | present,radio,No,no,CIEL:163750,CIEL:163747|CIEL:163748,,
Induced labor,Coded,yes | no,radio,No,no,CIEL:151750,CIEL:1065|CIEL:1066,,
Amniotic fluid index (AFI),Coded,normal | low | high,radio,No,no,CIEL:165388,CIEL:1115|CIEL:162648|CIEL:164471,,
Vaginal examination (V/E),Text,N/A,text,No,no,CIEL:160969,,,
Diagnosis (encounter diagnoses),Other,Select diagnoses via Encounter Diagnoses widget,diagnoses widget,No,no,,,,
Overall condition,Coded,satisfactory | deteriorated | unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,Outcome,
Disposition,Other,System-managed disposition widget,disposition widget,No,no,,,,
Notes / summary,Text,N/A,textarea,No,no,CIEL:161011,,,
