Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Posture,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21371,,,
Square Window,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21372,,,
Arm Recoil,Numeric,- | 0 | 1 | 2 | 3 | 4,clickable table,No,,PIH:21373,,,
Popliteal Angle,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21374,,,
Scarf Sign,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21375,,,
Heel To Ear,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21376,,,
Total neuromuscular score,Numeric,N/A,number,Yes,Form validation requires this,PIH:21384,,,
Skin,Numeric,-1 | 0 | 1 | 2 | 3 | 4 | 5,clickable table,No,,PIH:21377,,,
Lanugo,Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,,PIH:21378,,,
Plantar Surface,Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,,PIH:21379,,,
Breast,Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,,PIH:21380,,,
Eye / Ear,Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,,PIH:21381,,,
Genitals (Male),Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,Shown if patient gender = M,PIH:21382,,,
Genitals (Female),Numeric,-1 | 0 | 1 | 2 | 3 | 4,clickable table,No,Shown if patient gender = F,PIH:21383,,,
Total physical maturity score,Numeric,N/A,number,No,,PIH:21385,,,
Gestation by date,Date,N/A,date,No,,CIEL:163166,,,
Apgar at 1 minute,Numeric,N/A,number,No,,PIH:14419,,,
Apgar at 5 minutes,Numeric,N/A,number,No,,CIEL:159604,,,
Maturity rating total score,Numeric,N/A,number,No,,PIH:21386,,,
Gestational age by maturity,Numeric,N/A,number,No,,PIH:21414,,,
