Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Admission date/time,Date,N/A,date/time,No,no,CIEL:1640,,,
Labour start date/time,Date,N/A,date/time,No,no,CIEL:163444,,,
Membrane status,Coded,Intact | Ruptured | Unknown,radio,No,no,CIEL:164900,CIEL:164899|CIEL:127244|CIEL:1067,,
Rupture date/time,Date,N/A,date/time,No,Shown if ruptured,CIEL:160710,,,
Meconium classification,Coded,Class 1 | Class 2 | Class 3,radio,No,Shown if ruptured,CIEL:168726,CIEL:168727|CIEL:168728|CIEL:168729,,
Fetal presentation,Coded,Cephalic | Breech | Other,radio,No,no,CIEL:160090,,,
Fetal position,Coded,Multiple,radio,No,no,CIEL:163749,,,
Fetal heart rate (per fetus),Numeric,N/A,number,No,no,CIEL:1440,,,
Induced labor?,Coded,Yes | No,radio,No,no,CIEL:151750,CIEL:1065|CIEL:1066,,
Method of induction,Coded,Mechanical | Oxytocin | Misoprostol,radio,No,Shown if induced,CIEL:168751,CIEL:168752|CIEL:168753|CIEL:168754,,
Delivery type,Coded,Normal | Assisted | C-section,radio,No,no,PIH:11663,CIEL:1170|PIH:1172|CIEL:155884,,
Outcome (mother/newborn),Coded,Various (alive/death/complications),mixed,No,no,CIEL:...,,,
Newborn registrations/actions,Other,Register or auto-register baby,action/subform,No,no,,,,
Complications during labour/delivery,Coded,checkbox list,checkbox,No,no,PIH:6644,CIEL:...,,
Use of uterotonics,Coded,Yes | No,radio,No,no,PIH:14373,CIEL:1065|CIEL:1066,,
Upload partogram,Other,File upload,obs/file,No,no,PIH:13756,,,
Disposition/summary,Text/Other,Notes + disposition,textarea & disposition widget,Yes,no,CIEL:161011,,,
