Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Date,Date,N/A,date,No,no,,,,
Encounter Provider,Provider,List of available providers,provider select,No,no,,,,
Encounter Location,Location,List of available locations,location select,No,no,,,,
Type of prescription,Coded,N/A,dropdown,Yes,no,PIH:9292,,,
Discharge location,Location,N/A,location select,Yes,no,PIH:9293,,,
Prescriber,Provider,List of available providers,provider select,No,no,,,,
Medication Name,Drug,N/A,drug select,No,Repeat per medication,PIH:1282,,,
Dose,Numeric,N/A,number,No,Repeat per medication,CIEL:160856,,,
Dose unit,Coded,mg | g | mL | Application | Capsule | Tablet | Drop | mcg | Patch | Pump | Sachet | UI,dropdown,No,Repeat per medication,PIH:9074,mg|g|mL|Application|Capsule|Tablet|Drop|mcg|Patch|Pump|Sachet|UI,Medication,PIH:9070
Frequency,Coded,OD | BID | TID | QID | 5D | 6D | 7D | 8D | 9D | OM | ON | SOS | STAT | Q2H | Q3H | Q4H | Q6H | Q12H | other,dropdown,No,Repeat per medication,PIH:9363,PIH:OD|PIH:BID|PIH:TID|PIH:QID|PIH:5D|PIH:6D|PIH:7D|PIH:8D|PIH:9D|PIH:OM|PIH:ON|PIH:PRN|PIH:STAT|PIH:Q2H|PIH:Q3H|PIH:Q4H|PIH:Q6H|PIH:Q12H|PIH:5622,Medication,PIH:9070
Duration,Numeric,N/A,number,No,Repeat per medication,CIEL:159368,,,
Duration units,Coded,Days | Weeks | Months | Hours,dropdown,No,Repeat per medication,PIH:6412,PIH:Days|PIH:1073|PIH:Months|PIH:Hours,Medication,PIH:9070
Amount,Numeric,N/A,number,No,Repeat per medication,PIH:9071,,,
Instructions,Text,N/A,textarea,No,Repeat per medication,PIH:9072,,,
Medication group,Other,N/A,repeat/obsgroup,No,,PIH:9070,,,
