Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Admission date/time,Date,N/A,date,No,no,CIEL:1640,,,
Gravida,Numeric,N/A,number,No,no,CIEL:5624,,,
Para,Numeric,N/A,number,No,no,CIEL:1053,,,
Gestational age (GA),Numeric,N/A,number,No,no,CIEL:165425,,,
PAC (PostAbortion Care) type,Coded,Multiple checkbox options,checkbox,No,no,PIH:14376,CIEL:79984|CIEL:162484|CIEL:159728|CIEL:1637,,
Time of start of labour,Date/Numeric,N/A,date/time,No,no,CIEL:163444,,,
Presentation and position,Coded,Options,radio,No,no,CIEL:160090,,,
Delivery date/time,Date,N/A,date/time,No,no,CIEL:5599,,,
Delivery type,Coded,Normal | Assisted (vacuum or instrument) | C-section,radio,No,no,PIH:11663,CIEL:1170|CIEL:166425|CIEL:155884,,
Delivery outcome,Coded,Alive | FSB | MSB,radio,No,no,CIEL:159917,CIEL:151849|CIEL:159916|CIEL:135436,,
Partograph used?,Coded,yes | no,radio,No,no,PIH:13964,CIEL:1065|CIEL:1066,,
Uterotonic given immediately after birth?,Coded,yes | no,radio,No,no,PIH:14373,CIEL:1065|CIEL:1066,,
Newborn alive,Coded,yes | no,radio,No,no,CIEL:1571,CIEL:1065|CIEL:1066,,
Newborn sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
Birth weight (kg),Numeric,N/A,number,No,no,CIEL:5916,,,
APGAR score,Numeric,N/A,number,No,no,CIEL:1504,,,
Breastfeeding initiated within 1 hour,Coded,yes | no,radio,No,no,CIEL:161543,CIEL:1065|CIEL:1066,,
Initial diagnosis (autocomplete),Other,Autocomplete entries,autocomplete,No,no,PIH:DIAGNOSIS,,PIH:14391,
Final diagnosis (autocomplete),Other,Autocomplete entries,autocomplete,No,no,PIH:DIAGNOSIS,,CIEL:159947,
Counselled on family planning before discharge,Coded,yes | no,radio,No,no,CIEL:1382,CIEL:1065|CIEL:1066,,
Accepted and received FP before discharge,Coded,yes | no,radio,No,no,CIEL:166421,CIEL:1065|CIEL:1066,,
Disposition (ADT),Other,Disposition widget,disposition widget,No,no,,,,
HCW name,Text,N/A,text,No,no,PIH:6592,,,
HCW cadre,Coded,Options including other,radio,No,Shown if other,CIEL:1573,CIEL:5622 (other),,
