Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Name of baby,Text,N/A,text,No,no,CIEL:1586,,,
Chart # / Patient #,Text,N/A,text,No,no,CIEL:164803,,,
Mother name,Text,N/A,lookup,No,no,patient.personName,,,
Mother telephone,Text,N/A,lookup,No,no,personAttributes.Telephone Number,,,
Caregiver name,Text,N/A,text,No,no,PIH:2724,,,
Caregiver telephone,Text,N/A,text,No,no,PIH:6194,,,
Date & time of arrival,Date,N/A,date/time,Yes,no,encounterDate,,,
Referred from (internal/external/community),Coded,multiple checkbox options,checkbox,No,no,PIH:Type of referring service,PIH:ANTENATAL CLINIC|PIH:MATERNITY WARD|CIEL:160473|PIH:OTHER|PIH:11956|PIH:8856|CIEL:1555|PIH:11965,,
Referral reason (autocomplete),Other,Autocomplete,autocomplete,No,no,CIEL:159860,answerConceptSetIds=PIH:HUM pediatric diagnosis,,
Other referral reason (free-text),Text,N/A,text,No,no,CIEL:164359,,,
Referred by (role),Coded,Options (doctor,nurse,etc.),radio,No,Shown if other then show text,PIH:10635,CIEL:1555|PIH:DOCTOR|CIEL:1578|PIH:NURSE|PIH:SOCIAL WORKER SERVICE|CIEL:1575|CIEL:5622
Management commenced - time,Date,N/A,date/time,No,no,PIH:14398,,,
Name of provider who commenced management,Text,N/A,text,No,no,PIH:13326,,,
Admission date/time,Date,N/A,date/time,No,no,CIEL:1640,,,
Age at admission (days),Numeric,N/A,number,No,no,PIH:14393,,,
Age at admission (hours),Numeric,N/A,number,No,no,PIH:14394,,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
Weight at admission (kg),Numeric,N/A,number,No,no,CIEL:166604,,,
Place of delivery,Coded,Options including other,radio,No,Show other if selected,CIEL:163774,CIEL:1589|CIEL:1536|PIH:12368|CIEL:5622,,
Which facility,Coded,Multiple options,radio,No,Show other if selected,PIH:12365,PIH:14400|PIH:14401|...|CIEL:5622,,
Number of ANCs,Numeric,N/A,number,No,no,CIEL:1590,,,
Mode of delivery,Coded,Normal | Assisted | C-section,radio,No,no,PIH:11663,CIEL:1170|CIEL:166425|CIEL:155884,,
Diagnosis at delivery unit prior to admission at SCBU,Coded,multiple checkboxes,checkbox,No,no,PIH:14391,CIEL:159908|CIEL:116222|PIH:7557|...,,
Treatment provided prior to admission,Coded,multiple checkboxes,checkbox,No,no,PIH:3513,CIEL:164174|CIEL:167724|...,,
APGAR 1 min,Numeric,N/A,number,No,no,PIH:14419,,,
APGAR 1 min unknown,Coded,unknown,checkbox,No,no,PIH:12377,CIEL:1067,,
APGAR 5 min,Numeric,N/A,number,No,no,CIEL:159604,,,
APGAR 5 min unknown,Coded,unknown,checkbox,No,no,PIH:11932,CIEL:1067,,
Assisted ventilation at birth,Coded,yes | no | unknown,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066|CIEL:1067,,
Birth weight (kg),Numeric,N/A,number,No,no,CIEL:5916,,,
Gestational age,Numeric,N/A,number,No,no,CIEL:165425,,,
Diagnosis at admission,Coded,checkbox list,checkbox,No,no,PIH:12564,CIEL:127638|PIH:7557|CIEL:226|...,,
Management,Coded,checkbox list,checkbox,No,no,CIEL:165995,CIEL:167422|CIEL:164174|...,,
Outcome of admission (alive/discharged/died/referral),Coded,multiple options,radio,No,If death show death group,PIH:8620,CIEL:1692|PIH:11521|CIEL:1694|CIEL:159,,
If death - date/time of death,Date,N/A,date/time,No,Shown if death,PIH:14399,,,
If death - cause of death,Coded,Options,radio,No,Shown if death,CIEL:159482,CIEL:127638|PIH:7557|...,,
If other cause of death specify,Text,N/A,text,No,Shown if other cause selected,CIEL:160218,,,
Age at death (days),Numeric,N/A,number,No,Shown if death,PIH:14393,,,
Weight at time of death (kg),Numeric,N/A,number,No,Shown if death,CIEL:5089,,,
Date of discharge (if alive),Date,N/A,date,No,Shown if alive,CIEL:1641,,,
Name of staff completing info,Text,N/A,text,No,no,PIH:2594,,,
