Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Vital signs (vital-signs-widget subform),Other,See vital-signs-widget,subform,No,no,,,,
Oxygen flow rate (L/m),Numeric,N/A,number,No,no,CIEL:165986,,,
Total fluid input (mL),Numeric,N/A,number,No,no,CIEL:163036,,,
Total fluid output (mL),Numeric,N/A,number,No,no,CIEL:162659,,,
Exam - fundal height,Numeric,N/A,number,No,no,CIEL:1439,,,
Uterine contractions,Coded,absent | present,radio,No,no,CIEL:163750,CIEL:163747|CIEL:163748,,
Fetal heart rate method,Coded,Pinard | Doppler | Moyo | Janitri | CTG | other,radio,No,no,CIEL:168715,CIEL:168716|CIEL:168717|CIEL:168718|CIEL:168719|CIEL:168720|CIEL:5622,,
Fetal presentation,Coded,Options,radio,No,Repeat per fetus,CIEL:160090,,CIEL:165381,
Fetal position,Coded,Options,radio,No,Repeat per fetus,CIEL:163749,CIEL:5141|CIEL:5139,,
Fetal heart rate (FHR),Numeric,N/A,number,No,Repeat per fetus,CIEL:1440,,,
Induced labor,Coded,yes | no,radio,No,no,CIEL:151750,CIEL:1065|CIEL:1066,,
Induction date/time,Date,N/A,date/time,No,Shown if induced,CIEL:168755,,,
Method of induction,Coded,Mechanical induction | Oxytocin | Misoprostol,radio,No,Shown if induced,CIEL:168751,CIEL:168752|CIEL:168753|CIEL:168754,,
Uterus palpation,Coded,tenderUterus | nonSensitiveUterus,radio,No,no,CIEL:167035,CIEL:167036|CIEL:167037,,
Previous abdominal scar,Coded,yes | no,radio,No,no,CIEL:166893,CIEL:1065|CIEL:1066,,
# previous c-sections,Numeric,N/A,number,No,Shown if scar yes,CIEL:160081,,,
Description of scar,Text,N/A,text,No,Shown if scar yes,CIEL:168244,,,
Overall condition,Coded,satisfactory | deteriorated | unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,Outcome,
Disposition,Other,Disposition widget,disposition widget,No,no,,,,
Notes / summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Upload partogram,Other,File upload,obs/file,No,no,PIH:13756,,,
