Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Admission date/time,Date,N/A,date/time,No,no,CIEL:1640,,,
Gravida,Numeric,N/A,number,No,no,CIEL:5624,,,
Para,Numeric,N/A,number,No,no,CIEL:1053,,,
Calculated EDD,Date,N/A,date,No,Shown if LMP present,fn.latestObs('CIEL:1427'),,,
Calculated gestational age,Numeric,N/A,number,No,Shown if LMP present,calculated,,,
Gestational age (GA),Numeric,N/A,number,No,no,CIEL:165425,,,
Gestational age based on,Coded,Ultrasound | Last menstrual date | EDD | Physical exam,radio,No,no,CIEL:160697,CIEL:159618|CIEL:1427|CIEL:5596|CIEL:1391,,
Vital signs (vital-signs-widget),Other,See vital-signs-widget,subform,No,no,,,,
Lab results section,Other,See lab-results-section,subform,No,no,,,,
Labour complications,Coded,checkbox list,checkbox,No,no,PIH:6644,CIEL:230|CIEL:113602|CIEL:127259|CIEL:127592|CIEL:115491|CIEL:150862|CIEL:118256|CIEL:5622,,
Labour onset - labour start date/time,Date,N/A,date/time,No,no,CIEL:163444,,,
Membrane state,Coded,Intact | Ruptured | Unknown,radio,No,no,CIEL:164900,CIEL:164899|CIEL:127244|CIEL:1067,,
Rupture date/time,Date,N/A,date/time,No,Shown if ruptured,CIEL:160710,,,
Membrane color,Coded,Options,radio,No,Shown if ruptured,CIEL:168750,CIEL:159484|CIEL:168749,,
Meconium classification,Coded,Class 1 | Class 2 | Class 3,radio,No,Shown if ruptured,CIEL:168726,CIEL:168727|CIEL:168728|CIEL:168729,,
Obstetrical exam fields (fundal height,uterine contractions,fetal HR method,fetal presentation/position/HR),Other,Various (see form),mixed,No,no,CIEL:1439|CIEL:163750|CIEL:168715|CIEL:160090|CIEL:163749|CIEL:1440
Induced labor,Coded,yes | no,radio,No,no,CIEL:151750,CIEL:1065|CIEL:1066,,
Induction details,Date & Coded,N/A,date & radio,No,Shown if induced,CIEL:168755|CIEL:168751,CIEL:168752|CIEL:168753|CIEL:168754,,
Previous abdominal scar,Coded,yes | no,radio,No,no,CIEL:166893,CIEL:1065|CIEL:1066,,
# previous c-sections,Numeric,N/A,number,No,Shown if scar yes,CIEL:160081,,,
Description of scar,Text,N/A,text,No,Shown if scar yes,CIEL:168244,,,
Outcome - overall condition,Coded,satisfactory | deteriorated | unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,,
Disposition,Other,Disposition widget,disposition widget,No,no,,,,
Notes / summary,Text,N/A,textarea,No,no,CIEL:161011,,,
Partogram upload,Other,File upload,obs/file,No,no,PIH:13756,,,
