Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Enrol in Mental Health program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Referred by (community roles),Coded,multiple checkbox options,checkbox,No,no,PIH:Role of referring person,PIH:Teacher|PIH:TRADITIONAL HEALER|PIH:VILLAGE HEALTH WORKER|PIH:11783|CIEL:978|PIH:Other medical service,,
Internal referred by (doctor/nurse/social worker),Coded,checkbox list,checkbox,No,no,PIH:Type of referral role,PIH:DOCTOR|PIH:NURSE|PIH:SOCIAL WORKER SERVICE|PIH:OTHER,,
HIV test status,Coded,Yes | No,radio,No,no,PIH:1040,PIH:YES|PIH:NO,,
HIV ARV start date,Date,N/A,date,No,no,PIH:2516,,,
TB smear result,Coded,Options,radio,No,no,PIH:3052,CIEL:703|CIEL:664,,
ExtraPulmonary TB,Coded,Yes | No,radio,No,no,PIH:1547,PIH:YES|PIH:NO,,
Alcohol use,Coded,Current | Past | Never,radio,No,no,CIEL:159449,CIEL:159450|CIEL:159452|CIEL:1090,,
Alcohol use duration,Numeric,N/A,number,No,Shown if yes,PIH:2241,units=years,,
Marijuana use,Coded,Current | Past | Never,radio,No,no,PIH:12391,CIEL:159450|CIEL:159452|CIEL:1090,,
Marijuana duration,Numeric,N/A,number,No,Shown if yes,PIH:13239,units=years,,
Other substance sections (Kush/Tramadol/Other drugs/Traditional medicine),Coded/Numeric,multiple entries,mixed,No,no,PIH:20106|PIH:20107|CIEL:162556|PIH:13242,CIEL:159450|CIEL:159452|CIEL:1090,,
Family history - mental illness,Coded,Yes | No | Unknown,radio,Yes,no,CIEL:152450,PIH:YES|PIH:NO|PIH:UNKNOWN,,
Presenting features,Coded,checkbox list,checkbox,No,no,PIH:11505,CIEL:139146|CIEL:137668|CIEL:137646|CIEL:165554|PIH:206|PIH:OTHER,,
Clinical impression comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Mental state exam - alertness,Coded,Alert | Somnolent | Unconscious,radio,No,no,CIEL:122943,CIEL:160282|CIEL:141762|CIEL:123818,,
Orientation status,Coded,Oriented to person/place/time,checkbox,No,no,CIEL:167084,CIEL:167081|CIEL:167082|CIEL:167083,,
Appearance (Neat/Overweight/Thin),Coded,checkbox list,checkbox,No,no,CIEL:167092,CIEL:159438|CIEL:114413|CIEL:124905,,
Mood (depressed/neutral/elevated/anxious/irritable),Coded,checkbox list,checkbox,No,no,CIEL:167099,CIEL:119537|CIEL:167100|CIEL:166050|CIEL:121543|CIEL:6023,,
Affect (appropriate/labile/restricted/flat),Coded,checkbox list,checkbox,No,no,CIEL:167101,CIEL:167102|CIEL:167103|CIEL:167104|CIEL:167105,,
Thought process (goal oriented/linear/… ),Coded,checkbox list,checkbox,No,no,CIEL:167106,CIEL:167108|CIEL:167109|CIEL:167107|CIEL:167110|CIEL:167111,,
Thought content (delusions,paranoia,...),Coded,checkbox list,checkbox,No,no,CIEL:167112,CIEL:142600|CIEL:167113|CIEL:167114|CIEL:130853|CIEL:133436
Insight,Coded,Fair | Good | Poor,radio,No,no,CIEL:167115,CIEL:159406|CIEL:159405|CIEL:159407,,
Judgment,Coded,Fair | Good | Poor,radio,No,no,CIEL:167116,CIEL:159406|CIEL:159405|CIEL:159407,,
Comment / exam notes,Text,N/A,textarea,No,no,CIEL:163044,,,
Suicide history - past ideation,Coded,Yes | No,radio,Yes,no,CIEL:165529,PIH:YES|PIH:NO,,
Suicide history - past attempt,Coded,Yes | No,radio,Yes,no,CIEL:129176,PIH:YES|PIH:NO,,
Current suicidal ideation,Coded,Yes | No,radio,Yes,no,CIEL:125562,PIH:YES|PIH:NO,,
Current suicide attempt,Coded,Yes | No,radio,Yes,no,CIEL:148143,PIH:YES|PIH:NO,,
Date of suicide attempt,Date,N/A,date,No,Shown if attempt,CIEL:165530,,,
Psychosocial counseling,Coded,Yes | No,radio,No,no,PIH:PSYCHOSOCIAL COUNSELING,PIH:YES|PIH:NO,,
Diagnoses (autocomplete),Other,Autocomplete required,autocomplete,Yes,no,PIH:Mental health diagnosis,answerConceptSetIds=PIH:HUM Psychological diagnosis,,
CGI-S (Severity),Numeric,0-7,radio,No,no,CIEL:163222,0|1|2|3|4|5|6|7,,
CGI-I (Improvement),Numeric,0-7,radio,No,no,CIEL:163223,0|1|2|3|4|5|6|7,,
Interventions (psychosocial),Coded,checkbox list,checkbox,No,no,PIH:Mental health intervention,CIEL:167213|PIH:14533|CIEL:165973|CIEL:165424|PIH:PSYCHOSOCIAL COUNSELING|...,,
Medication orders,Other,Drug order subform,subform,No,no,,,,
Remarks,Text,N/A,textarea,No,no,PIH:10637,,,
Outcome - CHW assigned,Coded,Yes | No,radio,Yes,no,PIH:3293,PIH:YES|PIH:NO,,
Disposition,Other,Disposition widget,disposition widget,No,no,,,,
Return visit date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
