Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Enrol in Mental Health program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Housing - Homeless,Coded,Yes (homeless),checkbox,No,no,CIEL:163577,CIEL:163468,,
Presenting features,Coded,checkbox list,checkbox,No,no,PIH:11505,CIEL:139146|CIEL:137668|CIEL:137646|CIEL:165554|PIH:206|PIH:OTHER,,
Clinical impression comments,Text,N/A,textarea,No,no,PIH:CLINICAL IMPRESSION COMMENTS,,,
Mental state exam fields (alertness,orientation,appearance,mood,affect,thought process/content,insight,judgment),Mixed,"Various (see form),mixed,No,no,CIEL:122943|CIEL:167084|CIEL:167092|CIEL:167099|CIEL:167101|CIEL:167106|CIEL:167112|CIEL:167115|CIEL:167116"
Suicide risk - past/current ideation/attempt,Coded,Yes | No,radio,Yes,no,CIEL:165529|CIEL:129176|CIEL:125562|CIEL:148143,PIH:YES|PIH:NO,,
Date of suicide attempt,Date,N/A,date,No,Shown if attempt,CIEL:165530,,,
Psychosocial counseling given,Coded,Yes | No,radio,No,no,PIH:PSYCHOSOCIAL COUNSELING,PIH:YES|PIH:NO,,
Seizure frequency (per month),Numeric,N/A,number,No,no,PIH:6797,units=per month,,
CGI scores (CGI-S,CGI-I,CGI-E),Numeric/Choice,Defined ranges,radio,No,no,CIEL:163222|CIEL:163223|CIEL:163224,see form for ranges
"Interventions provided (CETA,MI,PFA,CBT,...)",Coded,checkbox list,checkbox,No,no,PIH:Mental health intervention,CIEL:167213|PIH:14533|CIEL:165973|CIEL:165424|PIH:PSYCHOSOCIAL COUNSELING|...,,
Medication orders,Other,Drug order subform,subform,No,no,,,,
Remarks,Text,N/A,textarea,No,no,PIH:10637,,,
Pregnancy status (if female),Coded,Yes | No,checkbox,No,Shown if female,CIEL:5272,CIEL:1065,,
If pregnant - LMP & EDD,Date/Date,N/A,date,No,Shown if pregnant,CIEL:1427|CIEL:5596,,,
Has CHW assigned,Coded,Yes | No,radio,Yes,no,PIH:3293,PIH:YES|PIH:NO,,
Disposition,Other,Disposition widget,disposition widget,No,no,,,,
Return visit date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
