Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Enroll in program,Other,Infant,enrollInProgram,Yes,no,Infant program,,,
Pregnancy complications,Coded,multiple checkbox options,checkbox,No,no,PIH:3334,CIEL:142474|CIEL:142473|CIEL:1449|CIEL:118744|CIEL:230|CIEL:129251|CIEL:165088|CIEL:115491|CIEL:118256|CIEL:150862|CIEL:117703|CIEL:5622,,
Other pregnancy complication specify,Text,N/A,text,No,Shown if other,PIH:14679,,,
Date & time of delivery,Date,N/A,date/time,No,no,CIEL:5599,,,
Gestational age (weeks.days),Numeric,N/A,number,No,no,CIEL:165425,,,
Type of delivery,Coded,Normal | Assisted | C-section,radio,No,no,PIH:11663,CIEL:1170|PIH:1172|CIEL:155884,,
Outcome (Alive / FSB / MSB),Coded,Alive | FSB | MSB,radio,No,Controls show alive details on Alive,CIEL:159917,CIEL:151849|CIEL:159916|CIEL:135436,,
Sex,Coded,M | F,radio,No,no,CIEL:1587,CIEL:1534|CIEL:1535,,
Birth weight (kg),Numeric,N/A,number,No,Shown if alive,CIEL:5916,,,
Birth length (cm),Numeric,N/A,number,No,Shown if alive,CIEL:163554,,,
Head circumference (cm),Numeric,N/A,number,No,Shown if alive,CIEL:163555,,,
APGAR 1 min,Numeric,0-10,number,No,Shown if alive,PIH:14419,,,
APGAR 5 min,Numeric,0-10,number,No,Shown if alive,CIEL:159604,,,
APGAR 10 min,Numeric,0-10,number,No,Shown if alive,PIH:14785,,,
Breastfeeding initiated within 1 hour,Coded,yes | no,radio,No,no,CIEL:161543,CIEL:1065|CIEL:1066,,
Multiple births (twins/multiples),Coded,checkbox (Twins or multiple),checkbox,No,no,PIH:DIAGNOSIS,CIEL:115491,Visit Diagnoses,PIH:Visit Diagnoses
Number of babies,Numeric,N/A,number,No,Shown if multiple,CIEL:163460,,,
Vital signs (infant widget),Other,See vital-signs-infant-widget,subform,No,no,,,,
Resuscitation required,Coded,yes | no,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066,,
Method(s) of resuscitation,Coded,Supplemental oxygen | Ventilation bag | Intubation | Heart massage,checkbox,No,Shown if resuscitation,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,,
Adrenaline administered,Coded,checkbox (Adrenaline administered),checkbox,No,no,PIH:12603,CIEL:154365,,
Adrenaline dosing/details,Text,N/A,comment field,No,Shown if adrenaline,comment on PIH:12603,,,
Diagnosis at birth (visit diagnoses),Coded,checkbox list,checkbox,No,no,PIH:DIAGNOSIS,CIEL:142015|CIEL:115939|CIEL:145935|CIEL:116222|CIEL:113841|CIEL:129372|CIEL:127639|PIH:7557|CIEL:118256|CIEL:116642|CIEL:129211|CIEL:115866,Visit Diagnoses,PIH:Visit Diagnoses
Congenital malformation (checkbox),Coded,checkbox,checkbox,No,no,PIH:DIAGNOSIS,CIEL:143849,Visit Diagnoses,PIH:Visit Diagnoses
Specify malformation,Text,N/A,text,No,Shown if malformation checked,PIH:15086,,,
Birth injury present,Coded,yes | no,radio,No,no,CIEL:147277,CIEL:1065|CIEL:1066,,
Birth injury details,Text,N/A,textarea,No,Shown if birth injury yes,CIEL:160686,,,
Overall condition (outcome),Coded,satisfactory | deteriorated | unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,,
Disposition,Other,Disposition widget,disposition widget,No,no,,,,
Notes / summary,Text,N/A,textarea,No,no,CIEL:161011,,,
