Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Enroll in Infant program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Date & time of delivery,Date,N/A,date/time,No,no,CIEL:5599,,,
APGAR 1 min,Numeric,0-10,number,No,no,PIH:14419,,,
APGAR 5 min,Numeric,0-10,number,No,no,CIEL:159604,,,
APGAR 10 min,Numeric,0-10,number,No,no,PIH:14785,,,
Weight (kg),Numeric,N/A,number,No,no,CIEL:5089,,,
Birth Weight (prior),Numeric,N/A,info,No,Shown if available,CIEL:5916,,,
Length (cm),Numeric,N/A,number,No,no,CIEL:5090,,,
Head circumference (cm),Numeric,N/A,number,No,no,CIEL:5314,,,
MUAC,Numeric,N/A,number,No,no,CIEL:1343,,,
Blood glucose (RBG),Numeric,N/A,number,No,no,CIEL:887,,,
Umbilical cord state,Coded,Clean | Dry | Moist | Sticky,checkbox,No,no,CIEL:162121,CIEL:162122|CIEL:162120|CIEL:162124|PIH:1670,Exam items,
Eyes,Coded,Clear | Red | Yellow | Sticky,checkbox,No,no,CIEL:163309,PIH:3236|CIEL:127777|CIEL:160910|CIEL:168745,Exam items,
Skin color,Coded,Normal (pink) | Cyanosis | Jaundice,radio,No,no,CIEL:1120,CIEL:1115|CIEL:143050|CIEL:115368,Exam items,
Urination status,Coded,Normal (passed urine) | Anuria,radio,No,no,CIEL:166358,CIEL:1115|CIEL:148566,Exam items,
Stool type,Coded,Meconium | Brown/Green | Yellow | None,radio,No,no,CIEL:163640,CIEL:168748|CIEL:168749|CIEL:160910|CIEL:1107,Exam items,
Neurological exam,Coded,Normal | Abnormal,radio,No,no,CIEL:1129,CIEL:1115|CIEL:1116,Exam items,
Seizures,Coded,Yes | No,radio,No,no,PIH:206,PIH:YES|PIH:NO,,
Cardiac exam,Coded,Normal | Murmur,radio,No,no,CIEL:1124,CIEL:1115|CIEL:562,Exam items,
Resuscitation required,Coded,Yes | No,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066,,
Resuscitation methods,Coded,Supplemental oxygen | Bag ventilation | Intubation | Heart massage,checkbox,No,Shown if resuscitation,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,,
Air supply (O2 / CPAP),Coded,Oxygen / CPAP / Room air,radio,No,no,CIEL:162739,CIEL:162735|CIEL:162738|CIEL:165944,,
O2 flow rate (L/min),Numeric,N/A,number,No,Shown if O2,CIEL:165986,,,
CPAP pressure (cm H2O),Numeric,N/A,number,No,Shown if CPAP,PIH:20357,,,
Apnea (diagnosis),Coded,Yes | No,checkbox,No,no,PIH:DIAGNOSIS,CIEL:121519,Visit Diagnoses,PIH:Visit Diagnoses
If apnea - duration,Numeric,N/A,number,No,Shown if apnea,PIH:20460,units=minutes,,
IV placed,Coded,Yes | No,checkbox,No,no,CIEL:165995,CIEL:1765,,
IV site,Coded,Multiple options,radio,No,Shown if IV,CIEL:166006,CIEL:166309|CIEL:164385|CIEL:166241|CIEL:164387|PIH:21117,,
IV fluids given (type),Coded,Multiple checkbox options,checkbox,No,Shown if IV,PIH:IVF administered,CIEL:74653|CIEL:80804|PIH:7898|CIEL:161250|CIEL:161922|CIEL:161924|CIEL:78617|PIH:20465|PIH:20466|PIH:21128|PIH:21129|PIH:21130,IVF construct,PIH:IVF construct
IV volume (mL),Numeric,N/A,number,No,Shown if IVF,CIEL:170482,units=mL,,
Number of days with IV,Numeric,N/A,number,No,Shown if IV,PIH:20290,,,
Encounter Diagnoses (dx widget),Other,Select diagnoses,diagnoses widget,No,no,,,,
Summary / notes,Text,N/A,textarea,No,no,CIEL:161011,,,
Disposition / destination,Other,Disposition widget,disposition widget,No,Required for some workflows,,,,
