Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Enroll in Infant program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Weight at discharge (kg),Numeric,N/A,number,No,no,CIEL:5089,,,
Birth weight (prior),Numeric,N/A,info,No,Shown if available,CIEL:5916,,,
MUAC,Numeric,N/A,number,No,no,CIEL:1343,,,
Pre-ductal O2 Sat (%),Numeric,N/A,number,No,no,CIEL:170398,,,
Post-ductal O2 Sat (%),Numeric,N/A,number,No,no,CIEL:170399,,,
Post-ductal difference,Numeric,calc (pre - post),number/display,No,Calculated from pre/post,derived,,,
Treatments given - eye ointment,Coded,Prophylactic eye ointment,checkbox,No,no,CIEL:1651,CIEL:168724,,
Treatments given - cord care,Coded,Umbilical cord care,checkbox,No,no,CIEL:1651,CIEL:168725,,
Vitamin K given,Coded,Yes (IM),checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:86352,,
Vitamin D given,Coded,Yes (oral),checkbox,No,no,PIH:SUPPLEMENT RECEIVED,CIEL:105310,,
Discharge diagnoses (dx widget),Other,Select diagnoses,diagnoses widget,No,no,,,,
Hemoglobin (g/dL),Numeric,N/A,number,No,no,CIEL:21,,,
Blood glucose (RBG),Numeric,N/A,number,No,no,CIEL:887,,,
MRDT result,Coded,Positive/Negative/Invalid,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Transcutaneous bilirubin (tcb),Numeric,N/A,number,No,no,PIH:21391,,,
Urination & stool times,Date/time,N/A,date/time,No,no,PIH:20266|PIH:20267,,,
Feeding method,Coded,Breastfed | Formula | Tube | Cup | Spoon,radio,No,no,CIEL:1151|CIEL:168734,CIEL:5632|CIEL:5254|CIEL:168743|CIEL:168735|CIEL:168742,,
Overall condition,Coded,satisfactory | deteriorated | unsatisfactory,radio,No,no,CIEL:160116,CIEL:160113|CIEL:160115|CIEL:159407,,
Disposition (required),Other,Disposition widget,disposition widget,Yes,no,,,,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Instructions to caregiver,Text,N/A,textarea,No,no,CIEL:163106,,,
Next appointment date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
Medications (drug-order subform),Other,Drug order subform,subform,No,no,,,,
Remarks,Text,N/A,textarea,No,no,PIH:10637,,,
