Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Enroll in Infant program,Other,Auto-enroll,enrollInProgram,Yes,no,,,,
Presenting history,Text,N/A,textarea,No,no,CIEL:1390,,,
Condition at admission,Coded,Good | Fair | Poor | Very poor,radio,No,no,CIEL:160116,PIH:GOOD|CIEL:159406|CIEL:159407|CIEL:167806,,
Clinical adverse effect past 24h,Coded,Yes | No,radio,No,no,CIEL:162871,CIEL:1065|CIEL:1066,,
Outborn - maternal info (group),Other,Mother name/age/phone etc,obsgroup,No,Shown if outborn,PIH:13182,CIEL:160750|PIH:3467|PIH:6194,,
Type of delivery,Coded,Normal | Assisted | C-section,radio,No,no,PIH:11663,CIEL:1170|CIEL:155884,,
Delivery location,Coded,Home | In-transit | Clinic | KGH/MCOE | Other,radio,No,no,PIH:20260,PIH:7889|CIEL:1601|CIEL:1588|PIH:12367|CIEL:5622,,
If other delivery location,Text,N/A,text,No,Shown if other selected,PIH:1389,,,
Transport method,Coded,Ambulance | Motorbike | Walking | Car | Other,radio,No,no,PIH:975,PIH:15074|PIH:MOTORBIKE|PIH:WALKING|PIH:CAR|PIH:OTHER,,
If other transport,Text,N/A,text,No,Shown if other,PIH:1301,,,
Maternal history,Text,N/A,textarea,No,no,PIH:13094,,,
Maternal complications (checkbox list),Coded,multiple options,checkbox,No,no,PIH:20542,CIEL:129251|CIEL:168592|CIEL:119481|CIEL:228|CIEL:132425|CIEL:129559|CIEL:117703|CIEL:127459|CIEL:124718|CIEL:145438|CIEL:111633,,
Vitals (infant subform),Other,See vital-signs-infant-widget,subform,No,no,,,,
Weight/length/head circumference,Numeric,N/A,number,No,no,CIEL:5089|CIEL:5090|CIEL:5314,,,
Feeding method,Coded,Breastfed | Formula | Tube | Cup | Spoon,radio,No,no,CIEL:1151|CIEL:168734,CIEL:5632|CIEL:5254|CIEL:168743|CIEL:168735|CIEL:168742,,
Diagnosis at admission (visit diagnoses),Other,Select via checkboxes/visit diagnoses,checkbox,Yes,no,PIH:Visit Diagnoses,CIEL:121629|CIEL:121519|CIEL:157996|CIEL:143849|CIEL:111523|CIEL:156720|CIEL:116222|CIEL:140951|CIEL:116128,Visit Diagnoses,PIH:Visit Diagnoses
Other diagnoses (dx widget),Other,Select additional diagnoses,diagnoses widget,No,no,,,,
Treatment plan,Text,N/A,textarea,No,no,CIEL:163104,,,
Air supply / respiratory support,Coded,Room air | Oxygen | CPAP,radio,No,no,CIEL:162739,CIEL:162735|CIEL:162738|CIEL:165944,,
O2 flow rate / CPAP values,Numeric,N/A,number,No,Shown if relevant,CIEL:165986|PIH:20357|CIEL:165927,,,
Resuscitation required,Coded,Yes | No,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066,,
Resuscitation methods,Coded,checkbox list,checkbox,No,Shown if resuscitation,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,,
Encounter Diagnoses (dx widget),Other,Select diagnoses,diagnoses widget,No,no,,,,
Disposition / destination,Other,Disposition widget,disposition widget,No,Required for some workflows,,,,
Notes / summary,Text,N/A,textarea,No,no,CIEL:161011,,,
