Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Provider,Provider,List of available providers,provider select,Yes,no,,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Vitals (infant subform),Other,See vital-signs-infant-widget,subform,No,no,,,,
AVPU (consciousness),Coded,AVPU options,radio,No,no,CIEL:162643,,,
Hemoglobin (g/dL),Numeric,N/A,number,No,no,CIEL:21,,,
Hematocrit (%),Numeric,N/A,number,No,no,CIEL:1015,,,
MRDT result,Coded,Positive | Negative | Invalid,radio,No,no,CIEL:1643,CIEL:703|CIEL:664|CIEL:1138,,
Reason for presentation (checkbox list),Coded,"many options (Jaundice,Fever,Difficulty breathing,Diarrhea,etc.)",checkbox,No,no,CIEL:167788,CIEL:136443|CIEL:512|CIEL:165501|CIEL:143264|CIEL:142373|CIEL:140238|CIEL:142412|CIEL:124193|CIEL:143582|CIEL:122983|CIEL:5226|...,,
Congenital malformation,Coded,Yes (specify) checkbox,checkbox,No,When checked show text,CIEL:167788,CIEL:143849,,
If congenital malformation specify,Text,N/A,text,No,Shown if congenital,PIH:15086,,,
Emergency signs (checkbox list),Coded,Hypoglycemia | Bleeding | Severe resp distress | Cyanosis | CRT>3s | etc.,checkbox,No,no,CIEL:1728,PIH:3729|CIEL:147241|PIH:7910|CIEL:143050|CIEL:162512|CIEL:168121|CIEL:124823|CIEL:143388|CIEL:144576|CIEL:116334|PIH:20323,,
Priority signs (checkbox list),Coded,Low birth weight | Respiratory distress | Prematurity | Fever | Birth trauma | Severe pallor | etc.,checkbox,No,no,PIH:12879,CIEL:116222|CIEL:127639|CIEL:113841|CIEL:140238|CIEL:147277|PIH:14517|CIEL:143582|CIEL:152330|CIEL:5050|CIEL:460|CIEL:165193|CIEL:118729|CIEL:116543,,
Resuscitation required,Coded,Yes | No,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066,,
Resuscitation methods,Coded,Supplemental oxygen | Ventilation bag | Intubation | Heart massage,checkbox,No,Shown if resuscitation,CIEL:165995,CIEL:162738|CIEL:167383|CIEL:165935|CIEL:167415,,
Birth injury present,Coded,Yes | No,radio,No,no,CIEL:147277,CIEL:1065|CIEL:1066,,
Birth injury details,Text,N/A,textarea,No,Shown if injury,CIEL:160686,,,
Destination / disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Summary / notes,Text,N/A,textarea,No,no,CIEL:161011,,,
