Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Main diagnosis intake,Coded,Cardiomyopathy | Hypertensive cardiopathy | Hypertensive heart disease | Rheumatic heart disease | Degenerative valve disease | Right heart failure | Pericardial diseases | Arrythmia | Thromboembolic | Congenital heart disease | Unknown suspected | Heart failure no echo,checkbox,No,Only for intake encounter,PIH:DIAGNOSIS,CIEL:5016|CIEL:168116|CIEL:117386|CIEL:113227|PIH:14836|CIEL:127376|CIEL:119092|CIEL:120148|CIEL:124800|CIEL:119956|PIH:12231|PIH:20004,Visit Diagnoses,PIH:Visit Diagnoses
Cardiomyopathy type,Coded,Ischemic cardiopathy | Alcohol-related cardiopathy | Peripartum cardiopathy | Arrythmia-related cardiopathy | HIV-associated cardiopathy | Chemotherapy-induced cardiopathy | Dilated (viral/idiopathic) cardiopathy | Restrictive cardiomyopathy | Cardiopathy due to unknown factors,checkbox,No,Shown if Cardiomyopathy checked,PIH:DIAGNOSIS,CIEL:139529|CIEL:142317|CIEL:113918|CIEL:113096|CIEL:163712|CIEL:168128|CIEL:168182|CIEL:169981|PIH:14753,Visit Diagnoses,PIH:Visit Diagnoses
Other cardiomyopathy specify,Text,N/A,text,No,Shown if Cardiomyopathy checked,PIH:14754,,,
Rheumatic heart disease type,Coded,Pure mitral stenosis | Pure mitral regurgitation | Mixed mitral valve disease MS+MR | Isolated aortic valve disease AVD | Mixed mitral and aortic valve disease MMAVD | Unspecified rheumatic heart disease | Other rheumatic heart disease,radio,No,Shown if Rheumatic heart disease checked,PIH:DIAGNOSIS,CIEL:127437|CIEL:127438|CIEL:127436|PIH:20166|PIH:14750|PIH:20167|PIH:20168,Visit Diagnoses,PIH:Visit Diagnoses
Other rheumatic heart disease specify,Text,N/A,text,No,Shown if Rheumatic heart disease checked,PIH:14754,,,
Degenerative valve disease type,Coded,Aortic stenosis | Aortic regurgitation | Mitral stenosis | Mitral regurgitation | Tricuspid regurgitation,radio,No,Shown if Degenerative valve disease checked,PIH:DIAGNOSIS,CIEL:134082|CIEL:115735|CIEL:121532|PIH:148546|CIEL:134088,Visit Diagnoses,PIH:Visit Diagnoses
Right heart failure type,Coded,Cor pulmonale | Schistosomiasis,radio,No,Shown if Right heart failure checked,PIH:DIAGNOSIS,PIH:COR PULMONALE|CIEL:117152,Visit Diagnoses,PIH:Visit Diagnoses
Unknown right heart failure,Coded,unknown,checkbox,No,Shown if Right heart failure checked,PIH:14752,PIH:14755,,
Pericardial disease type,Coded,Tuberculosis of pericardium | HIV pericardial diseases | Malignant pericardial effusion,radio,No,Shown if Pericardial diseases checked,PIH:DIAGNOSIS,CIEL:124033|CIEL:168127|CIEL:159343,Visit Diagnoses,PIH:Visit Diagnoses
Arrythmia type,Coded,Arrythmia type 1 | Arrythmia type 2,radio,No,Shown if Arrythmia checked,PIH:DIAGNOSIS,CIEL:148203|CIEL:148202,Visit Diagnoses,PIH:Visit Diagnoses
Thromboembolic type,Coded,Pulmonary embolism | Deep venous thrombosis,radio,No,Shown if Thromboembolic checked,PIH:DIAGNOSIS,CIEL:113504|CIEL:119624,Visit Diagnoses,PIH:Visit Diagnoses
Other thromboembolic,Coded,other,checkbox,No,Shown if Thromboembolic checked,PIH:14752,PIH:14756,,
Other thromboembolic specify,Text,N/A,text,No,Shown if Other thromboembolic checked,PIH:14756,,,
Congenital heart disease type,Coded,Atrial septal defect ASD | Ventricular septal defect VSD | Patent ductus arteriosus PDA | Coarctation of aorta | Tetralogy of Fallot | Unspecified congenital heart disease | Other congenital heart disease,checkbox,No,Shown if Congenital heart disease checked,PIH:DIAGNOSIS,CIEL:148196|CIEL:123240|CIEL:130715|CIEL:144674|CIEL:124944|PIH:20165|PIH:20164,Visit Diagnoses,PIH:Visit Diagnoses
Other congenital heart disease specify,Text,N/A,text,No,Shown if Congenital heart disease checked,PIH:20164,,,
Unknown suspected specify,Text,N/A,text,No,Shown if Unknown suspected checked,PIH:14742,,,
Clinical indicator Dyspnea,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:122496,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Clinical indicator Orthopnea,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:131689,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Clinical indicator Paroxysmal nocturnal dyspnea,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:130783,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Clinical indicator Crackles,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:127640,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Clinical indicator Pitting oedema,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:130166,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Clinical indicator Jugular distension,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:136394,PIH:SYMPTOM PRESENT|PIH:SYMPTOM ABSENT|PIH:SYMPTOM PRESENCE UNKNOWN,Clinical indicators,PIH:14733
Volume status,Coded,Hypervolemic | Euvolemic | Hypovolemic,radio,No,Only for followup,CIEL:159574,CIEL:159575|CIEL:117315|CIEL:138099,Heart failure followup indicators,PIH:14724
Understands treatment,Coded,yes | no | unknown,radio,No,Only for followup,CIEL:167914,PIH:YES|PIH:NO|PIH:UNKNOWN,Heart failure followup indicators,PIH:14724
