Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter date/time,Date,N/A,date/time,Yes,no,encounterDate,,,
Location,Location,List of available locations,location select,Yes,no,encounterLocation (SessionAttribute:emrContext.sessionLocationId),,"""Surgery Note Location""",
Surgical service,Coded,Service select,obs/autocomplete,No,no,PIH:Surgical service,,,
Attending surgeon,Provider,List of available providers,provider select,Yes,no,encounterProviderAndRole (surgery role),,,
Assistant surgeons,Provider,List of available providers,provider select,No,no,encounterProviderAndRole (assistants),,,
Other assistant (text),Text,N/A,text,No,no,PIH:Name of assistant surgeon,,,
Anesthesiologist(s),Provider,List of available providers,provider select,No,no,encounterProviderAndRole (anesthesia),,,
Nurse(s),Provider,List of available providers,provider select,No,no,encounterProviderAndRole (nurse),,,
Admission status,Coded,Ambulatory | Inpatient,radio,No,no,PIH:TYPE OF PATIENT,PIH:AMBULATORY|PIH:INPATIENT HOSPITALIZATION,,
Emergency?,Coded,Yes | No,radio,No,no,PIH:Emergency,PIH:YES|PIH:NO,,
Date of surgery (pre-op date),Date,N/A,date,No,no,(label/date),,,
Pre-operative diagnoses,Other,Autocomplete entries (multiple),autocomplete,No,no,PIH:Pre-surgery diagnosis,,,
Procedures performed,Other,Procedure autocomplete (multiple),autocomplete,No,no,PIH:Surgical procedure,,,
Post-operative diagnoses,Other,Autocomplete entries (multiple),autocomplete,No,no,PIH:Post-surgery diagnosis,,,
Type of anesthesia,Coded,Multiple options,radio,No,no,PIH:Type of anesthesia,PIH:7850|PIH:7854|PIH:7855|...,,
Complications from anesthesia,Coded,Multiple options,obs,No,no,macro:complicationsFromAnesthesia,$complicationsFromAnesthesia,,
Wound classification,Coded,Options,radio,No,no,PIH:Classifications of surgical wounds,,,
Fluids administered - IVF construct,Other,IVF options + volume,obsgroup,No,no,PIH:IVF construct,PIH:IVF administered|PIH:21113,,
Blood transfusion given,Coded,Yes | No,radio,No,If Yes show transfusion type/volume,PIH:Transfusion status,PIH:YES|PIH:NO,Transfusion construct,
Transfusion type/volume,Other,Whole blood/PRBCs/Plasma/Platelets + volume,obsgroup,No,Shown if transfusion yes,PIH:Transfusion construct,PIH:Whole blood|PIH:Packed red blood cells|PIH:Plasma|PIH:Platelets,Transfusion construct,
Pre-op antibiotic given,Coded,Yes | No,radio,No,If Yes show antibiotic name,PIH:Pre-operative antibiotic administered,PIH:YES|PIH:NO,,
Antibiotic name,Coded,Options,radio,No,Shown if antibiotic yes,PIH:Surgery antibiotics,,,
VTE prophylaxis (VTP),Coded,Options,radio,No,no,PIH:Venous thromboembolism prophylaxis,,,
Estimated blood loss (mL),Numeric,N/A,number,No,no,PIH:12555,units=mL,,
Urine output (mL),Numeric,N/A,number,No,no,CIEL:161929,units=mL,,
Findings / description,Text,N/A,textarea,No,no,PIH:Additional Surgery Comments,,,
Instructions,Text,N/A,textarea,No,no,CIEL:163106,,,
Baby observations (if relevant),Text,N/A,textarea,No,no,PIH:21120,,,
Drain removal date,Date,N/A,date,No,allowFutureDates=true,PIH:20926,,,
Stitches removal date,Date,N/A,date,No,allowFutureDates=true,PIH:20927,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
