Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter date/time,Date,N/A,date/time,Yes,no,encounterDate,,,
Encounter provider/location,Provider/Location,List of available providers & locations,subform,Yes,no,subform:configuration/pih/subforms/encounter-provider-location-date.xml,,"""MCH Triage Location""",
Referral form received,Coded,Yes (show upload) | No,checkbox,No,Shows upload obs when yes,PIH:20858,CIEL:1065,Referral,
Upload referral file,Other,File upload,obs/file,No,Shown if referral received,PIH:13756,,,
Referral from (role),Coded,"Multiple roles (PHU,hospital,other)",radio,Yes,Shows refer-date or other-referee per selection,PIH:10647,PIH:12368|CIEL:1555|CIEL:1575|CIEL:978|CIEL:5622,Referral,
Specify other referee,Text,N/A,text,No,Shown if other selected,PIH:6421,,,
Referral address,Text,N/A,text,No,no,PIH:10155,,,
Referral phone,Text,N/A,text,No,no,PIH:6194,,,
Date/time of referral,Date,N/A,date/time,No,no,CIEL:163181,,,
Method of transport,Coded,Ambulance | Motorbike | Walking | Car | Other,radio,Yes,If Other show text,PIH:975,PIH:15074|PIH:MOTORBIKE|PIH:WALKING|PIH:CAR|PIH:OTHER,,
Specify other transport,Text,N/A,text,No,Shown if transport other,PIH:1301,,,
Gestational age (weeks),Numeric,N/A,number,No,no,CIEL:165425,,,
Gravida,Numeric,N/A,number,No,no,CIEL:5624,,,
Para,Numeric,N/A,number,No,no,CIEL:1053,,,
Main complaint,Text,N/A,textarea,No,no,CIEL:160531,,,
Vitals,Other,See vital-signs-widget,subform,Yes,no,subform:configuration/pih/subforms/vital-signs-widget.xml,,,
Triage symptoms (green/yellow/orange/red),Coded,Many options per urgency,checkbox,No,Grouped by priority (controls affect priority),PIH:10674 and many CIEL/PIH answerConceptIds,,,
Other complaints,Coded,Back pain | Nausea/vomiting | Other,radio,No,If Other show text,CIEL:1119,CIEL:133632|CIEL:133473|PIH:OTHER,,
Specify other complaint,Text,N/A,text,No,Shown if Other,PIH:14679,,,
TB screen - cough/fever/night sweat/weight loss,Coded,Yes | No,radio,No,no,PIH:11563/PIH:11564,PIH:11567|CIEL:5945|CIEL:6029|CIEL:6477,TB screening,
Isolation needed,Other,Computed/message,info,No,Shown when TB screen positive,,,,
Lab results section,Other,See lab-results-section,subform,No,no,subform:configuration/pih/subforms/lab-results-section.xml,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
