Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Chief complaint,Text,N/A,text,No,no,CIEL:160531,,,
Height (cm),Numeric,N/A,number,No,no,PIH:HEIGHT (CM),,,
Weight (kg),Numeric,N/A,number,No,no,PIH:WEIGHT (KG),,,
BMI (calculated),Numeric,N/A,number,No,Shown if age>5,,,,
Level of consciousness,Coded,Awake (alert) | Responds to voice | Responds to pain | Staring and unresponsive,radio,No,no,PIH:10674,CIEL:160282|CIEL:162645|CIEL:162644|PIH:6784,,
Mobility level,Coded,Able to walk without assistance | Able to walk with assistance | Wheelchair/Stretcher,radio,No,no,CIEL:162753,CIEL:162750|CIEL:162751|CIEL:162752,,
Temperature (C),Numeric,N/A,number,No,no,PIH:TEMPERATURE (C),,,
Heart rate (pulse),Numeric,N/A,number,No,no,PIH:PULSE,,,
Systolic blood pressure,Numeric,N/A,number,No,no,PIH:SYSTOLIC BLOOD PRESSURE,,,
Diastolic blood pressure,Numeric,N/A,number,No,no,PIH:DIASTOLIC BLOOD PRESSURE,,,
Respiratory rate,Numeric,N/A,number,No,no,PIH:RESPIRATORY RATE,,,
Oxygen saturation (O2 sat),Numeric,N/A,number,No,no,PIH:BLOOD OXYGEN SATURATION,,,
MUAC (mm),Numeric,N/A,number,No,Shown if age<13 or female,PIH:MIDDLE UPPER ARM CIRCUMFERENCE (MM),,,
Z score,Numeric,N/A,number,No,Shown if age<5,CIEL:162584,,,
Head circumference (cm),Numeric,N/A,number,No,Shown if age<3,PIH:HEAD CIRCUMFERENCE,,,
TB screening - Cough,Coded,Yes | No,radio,No,Part of TB screening,PIH:11563,PIH:11567|PIH:5945,,
TB screening - Fever,Coded,Yes | No,radio,No,Part of TB screening,PIH:11563,PIH:5945|PIH:11567,,
